CIN,Company_Name,Date_of_Incorporation,Authorized_Capital,Paidup_Capital,Company_Status,ROC_Code,Principal_Business_Activity_NIC,STATE
L89012MH2021PTC03,PUNE LOGISTICS NETWORKS PRIVATE LIMITED,,2000000,1000000,Active,ROC-PUNE,4923,Maharashtra
U90123MH2022PTC04,THANE REAL ESTATE HOLDINGS,2022-10-12,7500000,3500000,Active,ROC-MUM,6810,Maharashtra
L24680MH2024PTC07,KOLHAPUR DAIRY PRODUCTS PRIVATE LIMITED,2024-05-07,5000000,2000000,Active,ROC-PUNE,1079,Maharashtra
L66778TN2018PTC11,CHENNAI SOFTWARE LABS PRIVATE LIMITED,2018-02-21,2000000,1200000,Active,ROC-CHENNAI,6209,TamilNadu
U77889TN2019PLC12,COIMBATORE TEXTILE MILLS LTD,2019-09-18,7000000,4500000,Active,ROC-COIMBATORE,1311,TamilNadu
L88990TN2020PTC13,MADURAI FOOD PROCESSORS PRIVATE LIMITED,2020-04-05,3000000,1500000,Active,ROC-MADURAI,1079,TamilNadu
U99001TN2021PTC14,TIRUPPUR GARMENT EXPORTS,2021-08-09,4000000,2000000,Active,ROC-COIMBATORE,1410,TamilNadu
L10112TN2023PLC15,KANCHI AUTO ELECTRONICS LTD,2023-01-23,9000000,6000000,Active,ROC-CHENNAI,2930,TamilNadu
CIN,Company Name,,0,0,Company Status,ROC Code,Principal Business Activity (NIC),TamilNadu
L11223TN2018PTC01,CHENNAI ELECTRONICS PRIVATE LIMITED,2018-05-17,6000000,3000000,Active,ROC-CHENNAI,2610,TamilNadu
U22334TN2019PLC02,COIMBATORE TEXTILE EXPORTS LIMITED,2019-09-03,7000000,4500000,Active,ROC-COIMBATORE,1311,TamilNadu
L33445TN2020PTC03,MADURAI FOOD PRODUCTS PRIVATE LIMITED,2020-11-20,3000000,1500000,Active,ROC-MADURAI,1079,TamilNadu
U44556TN2021PTC04,TIRUPPUR GARMENTS HUB,2021-06-11,5000000,2500000,Active,ROC-COIMBATORE,1410,TamilNadu
L66778TN2024PLC06,HOSUR AUTO SYSTEMS LIMITED,2024-02-02,8000000,5000000,Active,ROC-CHENNAI,2930,TamilNadu
